fold,train_days,test_days,best_params,train_sharpe,test_sharpe,test_return_pct,bh_return_pct,excess_pct,alpha_pct,beta,max_dd_pct,model
1,333,333,"{'fast_window': 10, 'slow_window': 200}",1.3467477754322685,0.0,0.0,-24.585577991072817,24.585577991072817,0.0,0.0,0.0,SMA Cross
2,666,333,"{'fast_window': 10, 'slow_window': 200}",0.6901501102498164,1.6992123110575805,29.13376514442909,5.145238671282515,23.988526473146578,17.86976599245352,0.3889622367901142,-11.302855445137027,SMA Cross
3,999,333,"{'fast_window': 10, 'slow_window': 200}",1.0014536253353312,4.736050459831517,116.1792166642845,211.26650131891162,-95.08728465462713,23.98395014346616,0.4002406786860569,-4.745728125665649,SMA Cross
4,1332,333,"{'fast_window': 10, 'slow_window': 200}",2.1335472643866846,0.20809970790161747,2.295451172561913,113.24223068114301,-110.9467795085811,-17.176585267840693,0.32938552209052674,-14.453012836467217,SMA Cross
5,1665,333,"{'fast_window': 10, 'slow_window': 200}",2.326223687089169,0.10619084790725884,0.7315698403358217,30.32072871374998,-29.589158873414156,-4.29855993042936,0.24193673340752514,-13.0122369608348,SMA Cross
1,333,333,"{'lookback': 50, 'z_entry': 1.0, 'z_exit': 0.3}",0.494196157060851,-0.21410914886229457,-5.615196148150369,-24.585577991072817,18.97038184292245,0.12522109201181034,0.17204404174769478,-16.997865525652323,Mean Reversion
2,666,333,"{'lookback': 50, 'z_entry': 1.0, 'z_exit': 0.3}",0.18952154712893726,-2.1069317753096195,-36.32440023333836,5.145238671282515,-41.46963890462087,-31.36612596819554,-0.27659053147822193,-43.01538896958239,Mean Reversion
3,999,333,"{'lookback': 50, 'z_entry': 1.0, 'z_exit': 0.3}",-0.9070082627781236,-3.596403349831531,-53.92467890640125,211.26650131891162,-265.19118022531285,-3.2957316805761083,-0.6141514292777982,-56.60823097154844,Mean Reversion
4,1332,333,"{'lookback': 20, 'z_entry': 2.0, 'z_exit': 0.3}",-1.5757912501283748,-1.9170964798522194,-33.66191091076784,113.24223068114301,-146.90414159191084,-7.948827080993448,-0.3688832532850452,-36.3156747352715,Mean Reversion
5,1665,333,"{'lookback': 20, 'z_entry': 2.0, 'z_exit': 0.3}",-1.681811568241833,0.04252560835964152,-0.19554808222975728,30.32072871374998,-30.516276795979735,3.139163998903309,-0.12256407790628714,-12.035728731094775,Mean Reversion
1,333,333,"{'vol_window': 40, 'mom_window': 10, 'regime_percentile': 50}",1.9701174427028003,-1.7108742906375112,-36.181245706486486,-24.585577991072817,-11.595667715413668,-30.865946860855903,0.06814096122450661,-48.27265824888289,Regime Router
2,666,333,"{'vol_window': 20, 'mom_window': 10, 'regime_percentile': 60}",0.006365635225922707,0.6284647913503205,13.833197964689447,5.145238671282515,8.687959293406932,10.982046075211507,0.08654212444911834,-12.771180233764234,Regime Router
3,999,333,"{'vol_window': 40, 'mom_window': 3, 'regime_percentile': 60}",0.48685492431888694,1.3656557974041965,39.56293157620685,211.26650131891162,-171.70356974270476,9.670981149033441,0.19957375551892495,-25.515554964898868,Regime Router
4,1332,333,"{'vol_window': 10, 'mom_window': 20, 'regime_percentile': 60}",0.5660440220855786,1.2457816260265735,33.90995496151208,113.24223068114301,-79.33227571963093,1.2983162911572004,0.3818205465054781,-28.780385188267765,Regime Router
5,1665,333,"{'vol_window': 10, 'mom_window': 20, 'regime_percentile': 60}",0.6851066467888215,-1.165224001189607,-25.409717587483062,30.32072871374998,-55.730446301233044,-23.647145077441003,0.1397069001876496,-38.6824487362557,Regime Router
1,333,333,"{'vol_window': 30, 'mom_window': 3, 'gate_percentile': 80}",2.2736549603241367,-1.0518437052401506,-6.356711872023801,-24.585577991072817,18.228866119049016,-4.513091136803002,0.01792044986434302,-7.646049618765471,S1 Hard70
2,666,333,"{'vol_window': 30, 'mom_window': 3, 'gate_percentile': 80}",0.8308540441502449,-0.7858935592933699,-3.0027808339056716,5.145238671282515,-8.148019505188186,-2.293518984061176,0.0049683804573267005,-4.763409852628609,S1 Hard70
3,999,333,"{'vol_window': 20, 'mom_window': 10, 'gate_percentile': 80}",0.4461378654384979,-2.6166070329787776,-21.6055230074943,211.26650131891162,-232.87202432640592,-13.570814116257631,-0.05231745975779523,-22.00555645739437,S1 Hard70
4,1332,333,"{'vol_window': 30, 'mom_window': 10, 'gate_percentile': 60}",0.19611092326202068,0.13858830622145912,1.1775927393285368,113.24223068114301,-112.06463794181448,-0.3204697304751701,0.028701019206179366,-10.6835305092565,S1 Hard70
5,1665,333,"{'vol_window': 30, 'mom_window': 10, 'gate_percentile': 60}",0.3075653095907353,0.56527848131143,7.677758470604945,30.32072871374998,-22.642970243145033,5.936492507781665,0.0118983907811225,-13.45002021493813,S1 Hard70
